Exchange Date,Open,Return,Missing
07-Oct-2020,10545.16,-1.85%,
13-Jun-2022,27861.85,-1.84%,
19-Aug-2018,6360.64,-1.84%,
29-Mar-2020,6125.23,-1.83%,
12-Apr-2020,6794.71,-1.83%,
18-Apr-2021,60873.07,-1.83%,
31-Aug-2018,6914.27,-1.83%,
24-Jul-2019,10135.85,-1.83%,
21-Aug-2022,20813,-1.82%,
10-Aug-2020,11639,-1.80%,
15-May-2019,7720.25,-1.80%,
21-Sep-2020,10889.39,-1.79%,
21-Feb-2019,3913.61,-1.78%,
08-Apr-2020,7113.37,-1.78%,
09-Apr-2022,42791.21,-1.77%,
11-Dec-2019,7222,-1.77%,
16-Apr-2019,5020.75,-1.77%,
06-Oct-2022,19986,-1.75%,
07-Apr-2018,6599.87,-1.75%,
19-Feb-2022,39978.1,-1.74%,
08-Jun-2020,9535.75,-1.72%,
14-Sep-2020,10263,-1.71%,
13-Aug-2018,6306.04,-1.71%,
03-Jul-2020,9082,-1.71%,
02-Dec-2020,19054,-1.70%,
28-Apr-2018,8970.01,-1.70%,
26-May-2018,7448.34,-1.70%,
23-Aug-2022,21118,-1.69%,
01-Feb-2020,9383.8,-1.69%,
05-Jul-2020,8944.49,-1.68%,
26-Jan-2020,8370.25,-1.68%,
02-Mar-2020,8491.12,-1.68%,
05-Mar-2018,11101,-1.68%,
09-Dec-2020,18765.06,-1.68%,
22-Sep-2019,9962.51,-1.67%,
17-Feb-2020,9756.41,-1.67%,
11-Feb-2022,43773.5,-1.66%,
28-Oct-2022,20408.5,-1.66%,
09-Sep-2019,10344.5,-1.65%,
03-Jun-2020,9519.27,-1.65%,
17-Sep-2021,47136.32,-1.65%,
14-Sep-2021,45174.49,-1.64%,
23-Feb-2023,23804,-1.64%,
09-Sep-2021,46039.39,-1.64%,
01-Nov-2021,60658.38,-1.64%,
11-Mar-2018,8835.7,-1.63%,
14-Feb-2023,21631.25,-1.63%,
11-May-2018,9092.9,-1.61%,
14-Feb-2021,47188.37,-1.61%,
05-Sep-2020,10610,-1.60%,
03-Dec-2018,4102.69,-1.60%,
08-Mar-2023,22054,-1.60%,
