date,error,tweet count,token count
2020-07-31,,30,2182
2021-09-06,,41,2181
2020-12-30,,38,2179
2021-02-14,,43,2179
2022-12-28,,42,2179
2021-10-27,,38,2179
2021-01-15,,37,2178
2020-06-09,,41,2178
2022-06-09,,36,2178
2022-02-03,,45,2175
2020-06-10,,38,2174
2022-12-29,,43,2171
2023-06-08,,38,2163
2022-05-23,,36,2163
2021-12-02,,36,2160
2022-03-03,,43,2159
2022-10-14,,39,2152
2020-12-21,,37,2152
2021-03-05,,34,2151
2023-06-12,,38,2148
2021-05-07,,34,2148
2021-12-21,,41,2146
2021-01-05,,38,2145
2020-12-27,,40,2144
2020-06-26,,35,2139
2021-12-07,,39,2139
2022-08-24,,36,2134
2020-12-07,,35,2131
2022-03-07,,39,2130
2022-05-31,,34,2126
2023-01-19,,37,2126
2022-11-18,,42,2126
2021-01-18,,36,2125
2023-04-24,,34,2123
2023-05-12,,30,2121
2022-10-19,,36,2110
2021-02-06,,40,2106
2022-11-28,,40,2100
2022-10-05,,35,2097
2022-01-07,,42,2095
2022-05-13,,36,2095
2022-06-24,,35,2092
2022-08-19,,35,2092
2022-08-04,,35,2091
2021-12-29,,39,2089
2021-01-30,,35,2089
2021-12-16,,39,2088
2021-08-14,,34,2088
2021-11-14,,44,2087
2023-06-09,,33,2082
2022-09-15,,39,2078
2020-04-29,,36,2074
2020-10-14,,34,2074
2022-06-03,,37,2071
2020-07-30,,32,2070
2022-08-11,,37,2069
2022-08-15,,37,2066
2022-03-18,,36,2066
2022-01-13,,41,2065
2022-11-08,,37,2062
2022-01-06,,35,2059
2023-05-16,,38,2057
2020-12-03,,36,2055
2022-07-13,,33,2055
2023-01-10,,34,2054
2020-11-20,,37,2054
2022-12-13,,34,2053
2021-03-24,,31,2048
2023-06-02,,36,2047
2020-06-04,,40,2045
2020-11-12,,44,2045
2021-06-12,,36,2044
2020-10-27,,37,2042
2022-07-20,,37,2036
2021-02-27,,34,2034
2023-01-26,,35,2034
2022-06-06,,34,2033
2022-08-02,,37,2033
2023-04-21,,33,2032
2022-10-21,,34,2031
2020-11-06,,33,2028
2021-03-16,,32,2023
2021-01-04,,39,2022
2022-01-15,,31,2014
2022-08-09,,36,2014
2022-07-08,,34,2006
2022-01-20,,41,2004
2022-04-04,,38,1996
2021-01-12,,35,1994
2020-12-09,,35,1994
2021-05-22,,40,1993
2022-02-25,,41,1984
2021-05-29,,31,1983
2020-12-15,,29,1963
2022-07-26,,33,1963
2021-12-23,,36,1958
2020-12-11,,30,1954
2023-01-14,,40,1949
2022-09-06,,32,1945
2021-04-04,,27,1944
2022-11-03,,35,1942
2021-06-06,,39,1937
2020-12-02,,33,1931
2023-01-11,,38,1930
2022-06-20,,38,1927
2022-05-22,,37,1926
2021-03-27,,29,1924
2020-06-12,,33,1922
2022-01-12,,41,1920
2022-10-07,,34,1917
2019-01-30,,23,1914
2020-06-16,,33,1911
2021-02-21,,37,1910
2021-12-03,,31,1903
2022-08-16,,33,1898
2022-12-31,,32,1895
2021-03-14,,32,1894
2023-03-11,,30,1894
2022-12-27,,30,1893
2021-11-30,,36,1892
2020-10-08,,32,1888
2020-05-22,,34,1886
2021-03-20,,31,1883
2022-07-01,,38,1880
2020-09-24,,34,1878
2020-07-28,,33,1873
2020-07-04,,27,1872
2021-12-20,,34,1872
2023-01-09,,37,1871
2020-10-15,,36,1868
2022-09-23,,33,1862
2022-06-15,,34,1860
2020-04-08,,31,1859
2022-02-11,,33,1856
2022-12-30,,32,1855
2020-05-13,,30,1852
2022-09-12,,35,1851
2022-09-09,,32,1850
2022-11-29,,33,1845
2022-10-22,,29,1844
2022-09-19,,32,1841
2022-11-24,,34,1840
2023-02-12,,31,1838
2023-03-04,,32,1834
2022-10-26,,32,1823
2023-05-18,,32,1820
2022-11-25,,33,1820
2022-10-29,,35,1817
2020-08-07,,30,1815
2020-10-29,,29,1814
2020-08-11,,29,1814
2020-05-15,,33,1813
2023-01-05,,36,1811
2022-07-25,,31,1809
2022-11-12,,33,1804
2020-12-25,,26,1798
2022-07-12,,33,1798
2020-04-17,,30,1794
2021-05-01,,28,1792
2021-02-28,,27,1789
2021-08-07,,30,1789
2020-07-29,,31,1788
2020-12-28,,32,1786
2021-03-07,,31,1784
2021-12-28,,31,1781
2023-05-17,,28,1779
2021-04-24,,27,1775
2020-10-13,,28,1770
2023-01-28,,31,1770
2020-03-25,,25,1768
2022-06-01,,31,1767
2022-08-22,,33,1765
2022-10-20,,31,1762
2022-08-23,,28,1761
2022-04-25,,29,1760
2021-09-16,,34,1756
2020-07-09,,27,1756
2022-12-23,,34,1753
2022-08-08,,31,1751
2021-07-24,,33,1750
2021-12-27,,30,1747
2023-05-21,,29,1746
2020-11-27,,32,1744
2020-08-21,,27,1742
2022-04-18,,31,1740
2022-12-03,,28,1737
2020-05-12,,32,1733
2021-06-13,,34,1732
2021-11-21,,33,1729
2020-04-23,,27,1729
2020-09-30,,37,1727
2022-09-08,,31,1727
2022-07-22,,29,1724
2020-10-30,,30,1723
2020-05-14,,34,1720
2021-12-17,,31,1720
2020-03-13,,29,1719
2021-01-09,,32,1714
2021-04-18,,25,1711
2022-07-14,,32,1709
2020-12-20,,29,1708
2021-01-01,,27,1707
2020-04-28,,25,1706
2020-11-16,,36,1701
2021-08-01,,30,1697
2021-03-08,,24,1693
2021-01-20,,29,1692
2020-08-05,,28,1688
2020-10-28,,24,1684
2022-08-17,,28,1683
2020-11-25,,32,1682
2021-05-30,,27,1680
2020-04-27,,26,1679
2022-07-15,,26,1675
2022-09-02,,29,1675
2023-05-26,,28,1671
2022-09-04,,27,1671
2021-07-05,,28,1667
2022-01-04,,31,1666
2020-07-02,,28,1662
2021-12-15,,33,1662
2022-02-05,,33,1659
2020-06-03,,30,1653
2021-01-10,,27,1651
2020-05-18,,24,1649
2021-01-24,,28,1647
2020-05-19,,25,1647
2021-06-05,,30,1644
2021-12-13,,32,1644
2020-11-26,,27,1644
2021-12-14,,31,1644
2021-01-11,,28,1643
2021-03-21,,24,1640
2020-06-23,,24,1638
2023-05-27,,30,1636
2020-12-24,,33,1630
2020-09-03,,29,1627
2023-01-16,,31,1627
2021-08-15,,28,1626
2021-11-26,,30,1622
2022-07-11,,31,1621
2018-10-31,,24,1621
2023-06-01,,28,1621
2022-02-14,,34,1620
2020-06-25,,30,1616
2018-03-15,,27,1616
2021-04-11,,26,1613
2021-08-28,,31,1607
2021-04-03,,24,1605
2020-10-31,,25,1603
